bibid|container_id|href|title|text
4079642|aspace_951a2b975b9189bce815d6dcd5f36b44|https://dx.doi.org/10.7916/d8-912a-e964|United China Relief Program, part 2 ,, 6/6/1941|
4079642|aspace_4233758860309aef10374bb684090590|https://dx.doi.org/10.7916/d8-d379-wm77|United China Relief Program; Talk by James G. Blaine and Ted White as broadcast over WMCA ,, 7/1/1941|
4079642|aspace_8be463f8a577d0b9f6af432aa526fe1a|https://dx.doi.org/10.7916/d8-08t7-b235|United China Relief; speeches of Wendell L. Willkie and Paul V. McNutt ,, 10/2/1941|
4079642|aspace_def4e03055019ead567ba65683ad087f|https://dx.doi.org/10.7916/d8-m2be-tt08|"March of Time" by Chiang Kai Shek (in Mandarin) pt 1, 13 May 1942 [2 disks], 13 May 1942|
4079642|aspace_afc5113a2b74ad066f38fb5951fcf5d5|https://dx.doi.org/10.7916/d8-m2be-tt08|"March of Time" by Chiang Kai Shek (in Mandarin) pt 2, 13 May 1942 [2 disks], 13 May 1942|
4079642|aspace_43a8eb7f5d7f695f455a6b3a2f6f8b1f|https://dx.doi.org/10.7916/d8-2gyv-wm43|Chiang Kai Shek, pt 1 ,, 4 April 1943|
4079642|aspace_b98866d23aa3ba156dc0797b0d30ac2d|https://dx.doi.org/10.7916/d8-2gyv-wm43|Chiang Kai Shek, pt 2 ,, 4 April 1943|
4079642|aspace_940ce53d3b3926b6ec08ac02e78deae9|https://dx.doi.org/10.7916/d8-91bj-gm96|Congressman Judd Speaks from Washington, D.C. ,, 3 February 1944|
4079642|aspace_1579bc78741c1ae42f048fab90fac2ab|https://dx.doi.org/10.7916/d8-r2cg-bs41|"Let’s Look at China," A Presentation of United China Relief, Inc. ,, 1944|
4079642|aspace_c72f0cce6fcb5778f4a55319a097995d|https://dx.doi.org/10.7916/d8-ndq0-rg44|Join the News Reel, WNEW Line, 10 February 1944|
4079642|aspace_5952d753d364f60c227c21f47777efe2|https://dx.doi.org/10.7916/d8-zrn5-ve64|Dr. Ray Lyman Wilbur of China News Reel ,, 10 February 1944|
4079642|aspace_644f273caa56676ff75a8210d084cb31|https://dx.doi.org/10.7916/d8-cpey-9y51|"United China Relief" ,, 13 March 1944|
4079642|aspace_676f2e67cf13a6fe0d75348a55a90398|https://dx.doi.org/10.7916/d8-mb6y-8439|China Relief Committee; speaker General Wainright, KCOR program ,, 19 June 1947|
4079642|aspace_76f2804b54c759b75fdb21c3d84e3fc4|https://dx.doi.org/10.7916/d8-8621-4t07|China War Relief Program; talks by Shirley Temple, Tyrone Powers, Claudette Colbert ,, Undated|
4079642|aspace_3db6812fc119171721266e612185010c|https://dx.doi.org/10.7916/d8-x5eg-yv41|China War Relief Program; talks by Shirley Temple, Tyrone Powers, Claudette Colbert ,, Undated|
4079642|aspace_824c9c7c4433e4bb951372803a39e6d9|https://dx.doi.org/10.7916/d8-9z46-a012|Roundtable discussion with Hon. Charles Edison, Dr. Lennig Sweet, Dr. Gerald Winfield, George V. Denny, Jr., Moderator. ,, Undated|
4079642|aspace_5ad773d0288ad860e11d9ee2b3bcbf9e|https://dx.doi.org/10.7916/d8-5t2q-fx44|United China War Relief Program; talks by Wendell L. Willkie and Paul V. McNutt ,, Undated|
4079642|aspace_fb64e305617210e2b502b55b4018c5f8|https://dx.doi.org/10.7916/d8-yp05-a828|Inaugurating Grandparents Campaign of United China Relief; Esteemed Grandparents Program by Ex-Governor Alfred Smith, Mrs. Benjamin Harrison, Mrs. Catherine Hayes Brown, Mr. Harvey Dunn, and Dr. James E. West|
4079642|aspace_df6c41e2fa7d56ea2f3ffa6e26db5f8e|https://dx.doi.org/10.7916/d8-5fta-6521|ABMAC Dinner in Honor of Liu Chieh, 7, December 1941|
